[I 2025-08-09 21:08:18,776] A new study created in memory with name: no-name-9a3cf3a5-d652-4a42-bfe3-7ac909280ec6
Mode-0 approx rank: 3/38
Estimated noise variance from mode-0: 0.0
Mode-1 approx rank: 6/20
Estimated noise variance from mode-1: 0.000177825332097206
Mode-2 approx rank: 5/24
Estimated noise variance from mode-2: 0.00023936783613024662
Mode-3 approx rank: 1/60
Estimated noise variance from mode-3: 9.580494086985005e-05

  0%|          | 0/500 [00:00<?, ?it/s]/mnt/ffs24/home/mondalra/Anomaly_Detection/src/proximal_ops/prox_overlapping_grouped_l21.py:405: UserWarning: Sparse CSR tensor support is in beta state. If you miss a functionality in the sparse tensor support, please submit a feature request to https://github.com/pytorch/pytorch/issues. (Triggered internally at /home/conda/feedstock_root/build_artifacts/libtorch_1742922447420/work/aten/src/ATen/SparseCsrTensorImpl.cpp:53.)
  G_ind = torch.sparse_csr_tensor(A_r.indptr, A_r.indices, A_r.data, device=device, dtype=dtype)

                                       
  0%|          | 0/500 [00:10<?, ?it/s]
  0%|          | 1/500 [00:10<1:29:02, 10.71s/it]
                                                 
  0%|          | 1/500 [00:19<1:29:02, 10.71s/it]
  0%|          | 2/500 [00:19<1:18:37,  9.47s/it]
                                                 
  0%|          | 2/500 [00:27<1:18:37,  9.47s/it]
  1%|          | 3/500 [00:27<1:14:53,  9.04s/it]
                                                 
  1%|          | 3/500 [00:36<1:14:53,  9.04s/it]
  1%|          | 4/500 [00:36<1:12:58,  8.83s/it]
                                                 
  1%|          | 4/500 [00:44<1:12:58,  8.83s/it]
  1%|          | 5/500 [00:44<1:12:03,  8.73s/it]
                                                 
  1%|          | 5/500 [00:53<1:12:03,  8.73s/it]
  1%|          | 6/500 [00:53<1:11:24,  8.67s/it]
                                                 
  1%|          | 6/500 [01:02<1:11:24,  8.67s/it]
  1%|▏         | 7/500 [01:02<1:10:57,  8.64s/it]
                                                 
  1%|▏         | 7/500 [01:10<1:10:57,  8.64s/it]
  2%|▏         | 8/500 [01:10<1:10:36,  8.61s/it]
                                                 
  2%|▏         | 8/500 [01:19<1:10:36,  8.61s/it]
  2%|▏         | 9/500 [01:19<1:10:11,  8.58s/it]
                                                 
  2%|▏         | 9/500 [01:27<1:10:11,  8.58s/it]
  2%|▏         | 10/500 [01:27<1:09:59,  8.57s/it]
                                                  
  2%|▏         | 10/500 [01:36<1:09:59,  8.57s/it]
  2%|▏         | 11/500 [01:36<1:09:50,  8.57s/it]
                                                  
  2%|▏         | 11/500 [01:44<1:09:50,  8.57s/it]
  2%|▏         | 12/500 [01:44<1:09:42,  8.57s/it]
                                                  
  2%|▏         | 12/500 [01:53<1:09:42,  8.57s/it]
  3%|▎         | 13/500 [01:53<1:09:35,  8.57s/it]
                                                  
